
epoch,data_y_loss,label_graph_loss,total_loss,TN_y,FP_y,FN_y,TP_y,TN_ego,FP_ego,FN_ego,TP_ego
0,0.614033009487254,0.07301913715102745,0.687052145259071,10404098.0,14463.0,372605.0,396.0,1021700.0,0.0,14488.0,0.0
1,0.6127114518908144,0.07011512797752409,0.6828265781620987,10409104.0,9457.0,372864.0,137.0,1021700.0,0.0,14488.0,0.0
2,0.6127496070534219,0.07042968267475376,0.6831792906950448,10410011.0,8550.0,372898.0,103.0,1021700.0,0.0,14488.0,0.0
3,0.6107643237550751,0.06996048995442973,0.680724813737942,10410180.0,8381.0,372897.0,104.0,1021700.0,0.0,14488.0,0.0
4,0.6100636775257023,0.06948978331594066,0.6795534623488215,10410216.0,8345.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
5,0.6110285074656246,0.06923246517322446,0.6802609749422729,10410222.0,8339.0,372901.0,100.0,1021700.0,0.0,14488.0,0.0
6,0.6113141452083151,0.0697933805267547,0.6811075278820883,10410217.0,8344.0,372903.0,98.0,1021699.0,1.0,14488.0,0.0
7,0.6122152789403464,0.06883948702962343,0.6810547659415325,10410207.0,8354.0,372903.0,98.0,1021700.0,0.0,14488.0,0.0
8,0.6098663415617616,0.06885760234853694,0.6787239449624797,10410219.0,8342.0,372903.0,98.0,1021699.0,1.0,14488.0,0.0
9,0.6096836587854924,0.06885441944344353,0.6785380762951975,10410211.0,8350.0,372906.0,95.0,1021697.0,3.0,14488.0,0.0
10,0.6097974181175232,0.06856784409352841,0.6783652637751048,10410198.0,8363.0,372901.0,100.0,1021698.0,2.0,14488.0,0.0
11,0.610389911036455,0.06888836113209942,0.6792782713438719,10410193.0,8368.0,372901.0,100.0,1021700.0,0.0,14488.0,0.0
12,0.6107162651214891,0.06859174473140076,0.6793080099666392,10410210.0,8351.0,372903.0,98.0,1021691.0,9.0,14486.0,2.0
13,0.610523157447349,0.06863745407180022,0.6791606095000988,10410203.0,8358.0,372898.0,103.0,1021700.0,0.0,14488.0,0.0
14,0.6121770987528881,0.06898491403073755,0.6811620106223886,10410193.0,8368.0,372902.0,99.0,1021700.0,0.0,14488.0,0.0
15,0.610534745318289,0.0687480766240877,0.6792828213167554,10410198.0,8363.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
16,0.6098238561899607,0.06817257264984473,0.6779964293232401,10410179.0,8382.0,372894.0,107.0,1021699.0,1.0,14488.0,0.0
17,0.6108126121622915,0.06805339904914376,0.6788660133157978,10410159.0,8402.0,372898.0,103.0,1021699.0,1.0,14488.0,0.0
18,0.6100832078293079,0.06830708864535995,0.6783902963609186,10410153.0,8408.0,372909.0,92.0,1021698.0,2.0,14488.0,0.0
19,0.6099330482592109,0.06787275437635319,0.6778058032043107,10410174.0,8387.0,372896.0,105.0,1021699.0,1.0,14488.0,0.0
20,0.6094156025930215,0.06798355193197272,0.6773991543828076,10410143.0,8418.0,372895.0,106.0,1021699.0,1.0,14488.0,0.0
21,0.6103672549014784,0.06780930958290136,0.6781765654796862,10410115.0,8446.0,372890.0,111.0,1021697.0,3.0,14482.0,6.0
22,0.6091224994823223,0.06795648582109058,0.6770789887158926,10410128.0,8433.0,372892.0,109.0,1021697.0,3.0,14488.0,0.0
23,0.6102133215838716,0.0673814883583602,0.6775948132267435,10410134.0,8427.0,372897.0,104.0,1021698.0,2.0,14488.0,0.0
24,0.6097619697337843,0.0681289384667655,0.6778909063521232,10410121.0,8440.0,372888.0,113.0,1021699.0,1.0,14483.0,5.0
25,0.6094851903333008,0.06779323461401554,0.6772784244923191,10410133.0,8428.0,372896.0,105.0,1021694.0,6.0,14483.0,5.0
26,0.6101313665622973,0.06789614211853223,0.6780275097330108,10410093.0,8468.0,372893.0,108.0,1021694.0,6.0,14482.0,6.0
27,0.6093109413867689,0.06727430724915658,0.6765852452234458,10410068.0,8493.0,372892.0,109.0,1021687.0,13.0,14483.0,5.0
28,0.6107541168009052,0.06739250772440707,0.6781466252931202,10410072.0,8489.0,372889.0,112.0,1021685.0,15.0,14484.0,4.0
29,0.6109993835441939,0.0675305115869482,0.6785298931689663,10410094.0,8467.0,372887.0,114.0,1021697.0,3.0,14471.0,17.0
30,0.6107451585867932,0.06735528078470521,0.6781004417033596,10410022.0,8539.0,372884.0,117.0,1021689.0,11.0,14476.0,12.0
31,0.6103161878258218,0.0669665542779533,0.6772827415065911,10410011.0,8550.0,372897.0,104.0,1021677.0,23.0,14462.0,26.0
32,0.6106519576247412,0.0672228291118873,0.6778747889831775,10410049.0,8512.0,372893.0,108.0,1021678.0,22.0,14458.0,30.0
33,0.6108514361709129,0.06692216121627174,0.6777735966762514,10409991.0,8570.0,372893.0,108.0,1021678.0,22.0,14472.0,16.0
34,0.6111177356188534,0.06661735520563053,0.6777350902557373,10409964.0,8597.0,372899.0,102.0,1021674.0,26.0,14469.0,19.0
35,0.6100111176039427,0.06645446765513821,0.6764655882165632,10410000.0,8561.0,372892.0,109.0,1021671.0,29.0,14462.0,26.0
36,0.6103636140131768,0.06654025176326737,0.6769038657195695,10409940.0,8621.0,372892.0,109.0,1021685.0,15.0,14473.0,15.0
37,0.6121769993359806,0.0666750900390494,0.6788520863037983,10409976.0,8585.0,372902.0,99.0,1021682.0,18.0,14472.0,16.0
38,0.6105498903580294,0.06684050219887086,0.6773903934100202,10409904.0,8657.0,372892.0,109.0,1021673.0,27.0,14464.0,24.0
39,0.6093972138776124,0.06640014540091271,0.6757973591789944,10409925.0,8636.0,372902.0,99.0,1021665.0,35.0,14471.0,17.0
40,0.6113952903347161,0.06646934413272916,0.6778646334437014,10409949.0,8612.0,372892.0,109.0,1021663.0,37.0,14462.0,26.0
41,0.6115744942017184,0.06598849216376552,0.6775629866214199,10409940.0,8621.0,372897.0,104.0,1021667.0,33.0,14463.0,25.0
42,0.6108654305225111,0.06559908796698992,0.6764645171529464,10409917.0,8644.0,372900.0,101.0,1021670.0,30.0,14458.0,30.0
