epoch,data_y_loss,label_graph_loss,total_loss,TN_y,FP_y,FN_y,TP_y,TN_ego,FP_ego,FN_ego,TP_ego
0,0.612280537381427,0.10904146284433722,0.7213220004817001,10410227.0,8334.0,372914.0,87.0,1009906.0,11794.0,14325.0,163.0
1,0.6103735215791309,0.07732791251694883,0.6877014354895089,10410248.0,8313.0,372900.0,101.0,1021700.0,0.0,14488.0,0.0
2,0.6111661691702049,0.07628082228070907,0.6874469900859221,10410249.0,8312.0,372899.0,102.0,1021700.0,0.0,14488.0,0.0
3,0.6107212223169458,0.07532857654203895,0.6860497989727341,10410251.0,8310.0,372897.0,104.0,1021700.0,0.0,14488.0,0.0
4,0.6109652146128298,0.07502319572763588,0.6859884089185991,10410246.0,8315.0,372894.0,107.0,1021700.0,0.0,14488.0,0.0
5,0.6106065814276688,0.07426830830464837,0.6848748904148131,10410210.0,8351.0,372891.0,110.0,1021700.0,0.0,14488.0,0.0
6,0.6105831040225866,0.07484711874418586,0.6854302241602017,10410181.0,8380.0,372885.0,116.0,1021700.0,0.0,14488.0,0.0
7,0.6115394089058155,0.07495309904445219,0.6864925058743426,10410167.0,8394.0,372884.0,117.0,1021700.0,0.0,14488.0,0.0
8,0.6098655271166153,0.07380564397072974,0.6836711718835904,10410142.0,8419.0,372883.0,118.0,1021700.0,0.0,14488.0,0.0
9,0.6120811002400085,0.0744557857285929,0.6865368849448575,10410137.0,8424.0,372883.0,118.0,1021700.0,0.0,14488.0,0.0
10,0.6110083119559834,0.07393387537307412,0.6849421890637347,10410128.0,8433.0,372879.0,122.0,1021700.0,0.0,14488.0,0.0
11,0.6102475405649375,0.07431134106662438,0.6845588829681164,10410125.0,8436.0,372879.0,122.0,1021700.0,0.0,14488.0,0.0
12,0.6092885643926286,0.07329576001822494,0.682584323500859,10410101.0,8460.0,372881.0,120.0,1021700.0,0.0,14488.0,0.0
13,0.6105527923307346,0.07355745628703642,0.6841102492718296,10410098.0,8463.0,372880.0,121.0,1021700.0,0.0,14488.0,0.0
14,0.6100349908566657,0.07325430274123454,0.683289295389452,10410053.0,8508.0,372880.0,121.0,1021700.0,0.0,14488.0,0.0
15,0.6097579816825517,0.07332694342800679,0.6830849242574386,10410051.0,8510.0,372880.0,121.0,1021700.0,0.0,14488.0,0.0
16,0.6094114357278547,0.0730897054531192,0.682501139986606,10410047.0,8514.0,372880.0,121.0,1021700.0,0.0,14488.0,0.0
17,0.6098549698145335,0.07304945490003087,0.6829044259231509,10410016.0,8545.0,372880.0,121.0,1021700.0,0.0,14488.0,0.0
18,0.6112809254012945,0.07354674801116681,0.6848276753461998,10409996.0,8565.0,372879.0,122.0,1021700.0,0.0,14488.0,0.0
19,0.6089058595759268,0.0725293348308738,0.6814351973642829,10409960.0,8601.0,372878.0,123.0,1021700.0,0.0,14488.0,0.0
20,0.6112816420220236,0.07328269687545208,0.6845643374756092,10409951.0,8610.0,372878.0,123.0,1021700.0,0.0,14488.0,0.0
21,0.6110053908733921,0.07306052485608873,0.6840659170660354,10409978.0,8583.0,372875.0,126.0,1021700.0,0.0,14488.0,0.0
22,0.6104830785562064,0.0730506109201726,0.6835336876279525,10409916.0,8645.0,372876.0,125.0,1021700.0,0.0,14488.0,0.0
23,0.6121134726145795,0.07321533509565674,0.6853288093596014,10409912.0,8649.0,372873.0,128.0,1021700.0,0.0,14488.0,0.0
24,0.6092854801935094,0.0728615304839065,0.6821470087721148,10409927.0,8634.0,372879.0,122.0,1021700.0,0.0,14488.0,0.0
25,0.6102924278674234,0.07284056295761625,0.6831329901709812,10409893.0,8668.0,372874.0,127.0,1021700.0,0.0,14488.0,0.0
26,0.6093835762438883,0.07288497140389362,0.6822685462827901,10409853.0,8708.0,372871.0,130.0,1021700.0,0.0,14488.0,0.0
27,0.6090153646833114,0.07279753056532554,0.6818128965283168,10409859.0,8702.0,372870.0,131.0,1021700.0,0.0,14488.0,0.0
28,0.6102444952680864,0.07260415538121726,0.682848651445549,10409833.0,8728.0,372869.0,132.0,1021700.0,0.0,14488.0,0.0
29,0.6100867067584554,0.07246662318024016,0.6825533286305784,10409821.0,8740.0,372869.0,132.0,1021700.0,0.0,14488.0,0.0
30,0.6084803306419431,0.07285472545914977,0.6813350542811037,10409817.0,8744.0,372868.0,133.0,1021700.0,0.0,14488.0,0.0
31,0.6099993181592636,0.07220846142989533,0.6822077804849348,10409787.0,8774.0,372868.0,133.0,1021700.0,0.0,14488.0,0.0
32,0.6103443407830391,0.07274192062611798,0.6830862619494664,10409752.0,8809.0,372865.0,136.0,1021700.0,0.0,14488.0,0.0
33,0.6101639657530166,0.07273086899791965,0.6828948345803122,10409743.0,8818.0,372867.0,134.0,1021700.0,0.0,14488.0,0.0
34,0.609963036447991,0.07266062017501766,0.6826236580164378,10409741.0,8820.0,372867.0,134.0,1021700.0,0.0,14488.0,0.0
35,0.6088072875983842,0.07243774467297183,0.6812450335225986,10409694.0,8867.0,372862.0,139.0,1021700.0,0.0,14488.0,0.0
36,0.6096382957833414,0.07239481181133794,0.6820331079359273,10409700.0,8861.0,372866.0,135.0,1021700.0,0.0,14488.0,0.0
37,0.6106564516329583,0.07269094338398853,0.6833473958131921,10409693.0,8868.0,372864.0,137.0,1021700.0,0.0,14488.0,0.0
38,0.6094176257384643,0.07212066798264744,0.681538293834861,10409667.0,8894.0,372861.0,140.0,1021700.0,0.0,14488.0,0.0
39,0.6080011998424093,0.07253483910369508,0.6805360376379872,10409680.0,8881.0,372865.0,136.0,1021700.0,0.0,14488.0,0.0
40,0.6088667166142063,0.07251366358676939,0.6813803802009757,10409664.0,8897.0,372860.0,141.0,1021700.0,0.0,14488.0,0.0
41,0.6081405368470053,0.07207270600754796,0.6802132457267237,10409664.0,8897.0,372861.0,140.0,1021700.0,0.0,14488.0,0.0
42,0.6079901099660014,0.07226556144256628,0.6802556714938797,10409675.0,8886.0,372866.0,135.0,1021700.0,0.0,14488.0,0.0
43,0.6100266059391372,0.07277315473966016,0.6827997619869145,10409690.0,8871.0,372867.0,134.0,1021700.0,0.0,14488.0,0.0
